px,py,tx,ty
519,375,0,0
598,374,1,0
675,374,2,0
750,374,3,0
829,374,4,0
904,374,5,0
575,626,1,4
659,626,2,4
655,698,2,5
655,762,2,6
737,760,3,6
463,141,-1,-4
393,143,-2,-4
